lbp_code;h_lbp_before;h_lbp_after;delta
0;0.0071990637;0.0063591085;-0.0008399553
1;0.0004366311;0.0003949785;-0.0000416526
2;0.0064180593;0.0059014614;-0.0005165979
3;0.0030730329;0.0028247109;-0.0002483221
4;0.0004738832;0.0004310167;-0.0000428665
5;0.0000337621;0.0000311825;-0.0000025796
6;0.0035148990;0.0032383534;-0.0002765457
7;0.0043103945;0.0040201164;-0.0002902781
8;0.0041187473;0.0037373495;-0.0003813978
9;0.0002247265;0.0002106906;-0.0000140359
10;0.0003283648;0.0003276061;-0.0000007587
11;0.0002600819;0.0002449079;-0.0000151740
12;0.0028213726;0.0026033226;-0.0002180500
13;0.0000635789;0.0000597855;-0.0000037935
14;0.0142957790;0.0135989901;-0.0006967888
15;0.0148529672;0.0141911544;-0.0006618128
16;0.0004245678;0.0003873157;-0.0000372521
17;0.0000304238;0.0000270097;-0.0000034141
18;0.0003484703;0.0003264680;-0.0000220023
19;0.0002244989;0.0002078834;-0.0000166155
20;0.0000362658;0.0000333827;-0.0000028831
21;0.0000023520;0.0000022002;-0.0000001517
22;0.0000921060;0.0000873262;-0.0000047798
23;0.0001025761;0.0000958236;-0.0000067524
24;0.0027682637;0.0025342810;-0.0002339827
25;0.0002161532;0.0001996895;-0.0000164638
26;0.0003708519;0.0003521120;-0.0000187399
27;0.0004467218;0.0004166773;-0.0000300445
28;0.0051564952;0.0048216815;-0.0003348137
29;0.0001257164;0.0001170672;-0.0000086492
30;0.0274323423;0.0263649292;-0.0010674131
31;0.0155630333;0.0150699550;-0.0004930782
32;0.0063348301;0.0058166389;-0.0005181912
33;0.0003819289;0.0003615199;-0.0000204090
34;0.0071699297;0.0068546145;-0.0003153152
35;0.0008212913;0.0008178771;-0.0000034141
36;0.0003805632;0.0003575747;-0.0000229886
37;0.0000254164;0.0000242025;-0.0000012139
38;0.0008626403;0.0008614264;-0.0000012139
39;0.0004952785;0.0004858706;-0.0000094079
40;0.0003523396;0.0003460424;-0.0000062972
41;0.0000265545;0.0000275408;0.0000009863
42;0.0000578887;0.0000647170;0.0000068283
43;0.0000204090;0.0000206366;0.0000002276
44;0.0004250230;0.0004053727;-0.0000196503
45;0.0000131255;0.0000132772;0.0000001517
46;0.0009933641;0.0010401000;0.0000467358
47;0.0002996860;0.0003158462;0.0000161603
48;0.0032941177;0.0030464785;-0.0002476392
49;0.0002407351;0.0002193398;-0.0000213953
50;0.0008328235;0.0008310026;-0.0000018209
51;0.0002372451;0.0002321618;-0.0000050833
52;0.0000890712;0.0000852019;-0.0000038694
53;0.0000065248;0.0000066007;0.0000000759
54;0.0002421007;0.0002278372;-0.0000142635
55;0.0002228298;0.0002110700;-0.0000117598
