lbp_code;h_lbp_before;h_lbp_after;delta
0;0.0256996540;0.0240620531;-0.0016376009
1;0.0016357555;0.0015656286;-0.0000701269
2;0.0127086505;0.0121762399;-0.0005324106
3;0.0084606690;0.0081660900;-0.0002945790
4;0.0016251442;0.0015494810;-0.0000756632
5;0.0000906574;0.0000881200;-0.0000025375
6;0.0084343714;0.0081404844;-0.0002938870
7;0.0099277970;0.0096673587;-0.0002604383
8;0.0106574394;0.0103095732;-0.0003478662
9;0.0007247982;0.0007068051;-0.0000179931
10;0.0010117647;0.0010249135;0.0000131488
11;0.0011049596;0.0010901961;-0.0000147636
12;0.0079727797;0.0077091119;-0.0002636678
13;0.0002327566;0.0002283737;-0.0000043829
14;0.0216602076;0.0213054210;-0.0003547866
15;0.0213838524;0.0210694348;-0.0003144175
16;0.0016376009;0.0015598616;-0.0000777393
17;0.0001732411;0.0001656286;-0.0000076125
18;0.0008636678;0.0008399077;-0.0000237601
19;0.0008514418;0.0008302191;-0.0000212226
20;0.0001014994;0.0000971165;-0.0000043829
21;0.0000087659;0.0000083045;-0.0000004614
22;0.0002615917;0.0002528258;-0.0000087659
23;0.0004535179;0.0004433679;-0.0000101499
24;0.0081227220;0.0078602076;-0.0002625144
25;0.0008382930;0.0008147636;-0.0000235294
26;0.0012682814;0.0012459054;-0.0000223760
27;0.0017146482;0.0016754325;-0.0000392157
28;0.0116613610;0.0112565167;-0.0004048443
29;0.0004927336;0.0004793541;-0.0000133795
30;0.0265204152;0.0259635525;-0.0005568627
31;0.0230288351;0.0227271050;-0.0003017301
32;0.0128641292;0.0123337947;-0.0005303345
33;0.0008726644;0.0008454441;-0.0000272203
34;0.0027547866;0.0028129181;0.0000581315
35;0.0013008074;0.0013109573;0.0000101499
36;0.0008053057;0.0007820069;-0.0000232987
37;0.0000500577;0.0000477509;-0.0000023068
38;0.0012562860;0.0012629758;0.0000066897
39;0.0008482122;0.0008442907;-0.0000039216
40;0.0009767013;0.0009937716;0.0000170704
41;0.0000440600;0.0000452134;0.0000011534
42;0.0000742791;0.0000848904;0.0000106113
43;0.0000380623;0.0000399077;0.0000018454
44;0.0011854671;0.0011653979;-0.0000200692
45;0.0000579008;0.0000565167;-0.0000013841
